status,lead_source,owner_role,owner_department,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,lead_is_converted
Nurturing,Partner Referral,SDR,Sales,3,2,1,1,257,-139,712.0,706.0,0
Open,Inbound,SDR,Sales,0,0,0,0,921,-259,,,1
Qualified,Outbound,SDR,Sales,3,1,2,1,424,-74,569.0,560.0,0
Nurturing,Outbound,BDR,Sales,5,4,1,2,1174,-400,-889.0,-903.0,1
Nurturing,Inbound,BDR,Sales,3,1,2,2,1305,-569,-1133.0,-1145.0,0
Nurturing,Trade Show,BDR,Sales,3,1,2,1,675,904,-649.0,-662.0,1
Qualified,Trade Show,AE,Sales,4,2,2,1,1234,-747,-1012.0,-1031.0,1
Working,Event,SDR,Sales,5,2,3,1,650,531,-636.0,-648.0,0
Nurturing,Inbound,BDR,Sales,2,0,2,1,1169,386,99.0,81.0,0
Nurturing,Web,BDR,Sales,4,2,2,1,301,-37,-60.0,-72.0,1
Open,Inbound,BDR,Sales,4,2,2,1,553,798,87.0,83.0,1
Qualified,Event,BDR,Sales,1,1,0,1,166,600,892.0,880.0,1
Qualified,Web,AE,Sales,3,1,2,1,1389,-1120,-891.0,-915.0,0
Working,Partner Referral,AE,Sales,2,1,1,1,347,1280,-189.0,-196.0,0
Working,Outbound,SDR,Sales,7,4,3,3,1074,-1037,-1052.0,-1064.0,0
Nurturing,Inbound,SDR,Sales,2,1,1,0,376,965,-369.0,-388.0,1
Open,Trade Show,BDR,Sales,0,0,0,0,1415,-931,,,1
Nurturing,Partner Referral,SDR,Sales,5,2,3,3,165,25,452.0,451.0,0
Qualified,Inbound,SDR,Sales,3,2,1,2,1038,-1001,-1061.0,-1067.0,1
Working,Inbound,BDR,Sales,6,2,4,0,211,718,-145.0,-153.0,1
Qualified,Web,SDR,Sales,0,0,0,0,1201,-405,,,1
Nurturing,Trade Show,BDR,Sales,2,0,2,2,161,605,1005.0,984.0,1
Working,Event,BDR,Sales,5,2,3,1,935,164,-596.0,-625.0,1
Nurturing,Web,AE,Sales,5,3,2,2,1235,-675,-1059.0,-1069.0,0
Working,Event,SDR,Sales,4,3,1,3,862,134,-511.0,-538.0,0
Qualified,Outbound,AE,Sales,8,5,3,3,1402,-872,-1097.0,-1124.0,1
Qualified,Web,BDR,Sales,8,6,2,3,531,-600,-542.0,-547.0,1
Qualified,Trade Show,SDR,Sales,6,5,1,0,42,705,376.0,367.0,0
Qualified,Trade Show,BDR,Sales,4,1,3,2,958,500,-759.0,-788.0,0
Open,Partner Referral,BDR,Sales,2,1,1,0,443,-94,138.0,111.0,1
Working,Partner Referral,BDR,Sales,1,1,0,1,979,341,-306.0,-326.0,1
Working,Web,BDR,Sales,6,4,2,0,843,-344,-861.0,-862.0,1
Qualified,Web,BDR,Sales,3,2,1,1,46,947,196.0,187.0,1
Open,Event,BDR,Sales,1,1,0,1,598,872,331.0,304.0,0
Qualified,Inbound,SDR,Sales,6,1,5,2,1293,13,-1146.0,-1160.0,0
Nurturing,Trade Show,SDR,Sales,3,3,0,2,473,976,18.0,0.0,0
Open,Partner Referral,SDR,Sales,4,2,2,2,735,-49,-423.0,-429.0,1
Working,Inbound,SDR,Sales,5,5,0,2,83,1180,-67.0,-71.0,0
Qualified,Event,AE,Sales,5,2,3,0,140,750,-149.0,-150.0,1
Qualified,Partner Referral,AE,Sales,6,3,3,1,933,-446,-848.0,-850.0,0
Working,Inbound,BDR,Sales,1,0,1,0,1212,-316,-463.0,-469.0,0
Open,Partner Referral,SDR,Sales,5,0,5,2,563,-239,-245.0,-262.0,0
Open,Event,SDR,Sales,3,2,1,3,217,1170,-188.0,-194.0,1
Nurturing,Event,AE,Sales,1,0,1,0,1347,-585,-55.0,-81.0,1
Qualified,Partner Referral,BDR,Sales,4,1,3,0,174,-94,-154.0,-184.0,0
Nurturing,Web,SDR,Sales,1,1,0,0,1280,-273,-746.0,-767.0,1
Open,Web,SDR,Sales,8,4,4,6,631,-592,-626.0,-648.0,0
Working,Outbound,SDR,Sales,4,0,4,1,714,627,-636.0,-648.0,0
Nurturing,Trade Show,BDR,Sales,3,1,2,1,1006,576,-924.0,-938.0,0
Qualified,Event,SDR,Sales,6,4,2,0,122,637,54.0,41.0,1
Qualified,Web,AE,Sales,4,3,1,2,615,-207,240.0,224.0,1
Qualified,Partner Referral,SDR,Sales,2,1,1,0,499,-13,-500.0,-514.0,0
Open,Partner Referral,BDR,Sales,1,0,1,0,773,782,-104.0,-117.0,1
Open,Partner Referral,BDR,Sales,2,2,0,1,1327,217,-141.0,-145.0,1
Working,Outbound,SDR,Sales,5,3,2,0,799,-40,-192.0,-195.0,1
Open,Event,SDR,Sales,2,1,1,1,656,-550,-334.0,-349.0,0
Qualified,Inbound,BDR,Sales,7,2,5,4,1242,-1009,-1093.0,-1114.0,1
Working,Outbound,AE,Sales,4,3,1,2,1419,-1136,-1328.0,-1333.0,0
Nurturing,Outbound,BDR,Sales,8,5,3,5,108,661,-77.0,-99.0,0
Qualified,Outbound,BDR,Sales,6,4,2,2,1162,-842,-1061.0,-1081.0,1
Nurturing,Inbound,BDR,Sales,9,4,5,4,397,-282,-216.0,-240.0,0
Working,Web,SDR,Sales,3,0,3,1,376,47,-259.0,-277.0,1
Qualified,Inbound,BDR,Sales,1,1,0,0,1224,-1113,-682.0,-697.0,1
Nurturing,Web,SDR,Sales,3,1,2,1,773,-758,-490.0,-517.0,0
Qualified,Trade Show,BDR,Sales,2,0,2,2,633,1045,-492.0,-494.0,0
Qualified,Web,AE,Sales,3,0,3,2,36,494,356.0,351.0,1
Open,Partner Referral,SDR,Sales,4,0,4,1,216,777,97.0,79.0,0
Working,Inbound,BDR,Sales,4,4,0,1,73,287,561.0,535.0,1
Nurturing,Partner Referral,SDR,Sales,5,1,4,0,371,622,-179.0,-202.0,1
Open,Inbound,BDR,Sales,6,2,4,0,412,72,-430.0,-431.0,0
Nurturing,Partner Referral,AE,Sales,2,2,0,1,1079,-198,-278.0,-301.0,0
Nurturing,Inbound,SDR,Sales,3,1,2,1,328,681,36.0,33.0,0
Working,Event,SDR,Sales,4,2,2,1,367,-261,422.0,396.0,1
Nurturing,Web,AE,Sales,6,2,4,2,1327,-299,-1197.0,-1202.0,1
Qualified,Partner Referral,AE,Sales,7,6,1,3,708,-557,-392.0,-403.0,1
Qualified,Trade Show,SDR,Sales,3,1,2,1,206,1057,117.0,94.0,1
Qualified,Partner Referral,BDR,Sales,5,3,2,1,488,-557,-510.0,-519.0,0
Working,Web,SDR,Sales,3,1,2,1,530,254,-141.0,-146.0,0
Nurturing,Inbound,SDR,Sales,3,1,2,0,278,924,-25.0,-54.0,1
Open,Event,SDR,Sales,5,3,2,1,0,662,254.0,253.0,1
Open,Web,BDR,Sales,3,2,1,0,1246,-474,-973.0,-981.0,1
Nurturing,Partner Referral,SDR,Sales,3,3,0,1,40,953,287.0,267.0,0
Nurturing,Web,SDR,Sales,4,1,3,1,870,-86,-843.0,-852.0,1
Open,Partner Referral,SDR,Sales,3,2,1,3,1022,-1009,-1016.0,-1026.0,1
Nurturing,Inbound,SDR,Sales,3,1,2,2,35,867,712.0,707.0,0
Qualified,Event,SDR,Sales,8,5,3,6,1346,-470,-1245.0,-1273.0,1
Nurturing,Partner Referral,AE,Sales,2,0,2,0,708,276,-347.0,-371.0,0
Working,Event,SDR,Sales,3,0,3,0,977,674,-89.0,-99.0,1
Open,Inbound,SDR,Sales,3,2,1,1,1147,-1134,-682.0,-706.0,1
Open,Partner Referral,SDR,Sales,5,3,2,1,1048,-562,-1011.0,-1020.0,1
Open,Outbound,BDR,Sales,5,2,3,3,856,6,-810.0,-831.0,0
Working,Web,BDR,Sales,3,0,3,0,546,520,-116.0,-120.0,0
Nurturing,Outbound,BDR,Sales,1,1,0,0,502,272,-404.0,-428.0,1
Nurturing,Outbound,AE,Sales,1,1,0,0,1398,-1184,-688.0,-716.0,0
Qualified,Partner Referral,BDR,Sales,5,3,2,4,87,258,123.0,93.0,1
Working,Outbound,SDR,Sales,2,1,1,1,1212,-72,-700.0,-701.0,1
Nurturing,Web,SDR,Sales,3,1,2,0,191,515,779.0,778.0,0
Working,Event,BDR,Sales,7,5,2,4,92,324,25.0,15.0,1
Working,Inbound,AE,Sales,2,1,1,0,1346,-657,-242.0,-259.0,0
Open,Outbound,BDR,Sales,6,3,3,2,1422,-1006,-1238.0,-1246.0,1
Nurturing,Inbound,AE,Sales,1,0,1,1,779,-90,-70.0,-74.0,1
Nurturing,Event,SDR,Sales,4,2,2,2,34,762,143.0,138.0,1
Open,Partner Referral,SDR,Sales,2,2,0,1,31,1499,535.0,528.0,0
Working,Web,BDR,Sales,4,3,1,1,912,179,-678.0,-699.0,0
Nurturing,Trade Show,AE,Sales,4,2,2,1,296,1196,-76.0,-80.0,0
Qualified,Trade Show,BDR,Sales,1,1,0,1,993,98,-29.0,-30.0,1
Open,Event,SDR,Sales,4,2,2,2,1058,-504,-281.0,-301.0,0
Open,Inbound,SDR,Sales,2,1,1,0,168,1013,199.0,197.0,1
Open,Web,SDR,Sales,4,2,2,3,1336,-1297,-1327.0,-1333.0,1
Nurturing,Trade Show,BDR,Sales,3,1,2,0,356,-327,-64.0,-91.0,1
Qualified,Web,SDR,Sales,6,2,4,1,1443,-659,-1017.0,-1042.0,1
Qualified,Web,BDR,Sales,4,2,2,2,583,109,-354.0,-356.0,1
Working,Trade Show,AE,Sales,4,3,1,1,1098,-1025,-1029.0,-1038.0,1
Qualified,Outbound,AE,Sales,7,3,4,2,814,214,-642.0,-659.0,0
Nurturing,Web,BDR,Sales,7,5,2,1,117,203,-19.0,-32.0,1
Qualified,Outbound,BDR,Sales,3,2,1,1,1407,-1405,22.0,-2.0,0
Open,Outbound,SDR,Sales,7,3,4,3,1414,-1186,-1198.0,-1199.0,1
Nurturing,Partner Referral,BDR,Sales,2,1,1,1,876,228,-690.0,-691.0,1
Nurturing,Event,SDR,Sales,3,1,2,3,1139,-132,-762.0,-771.0,0
Nurturing,Partner Referral,SDR,Sales,3,2,1,1,1165,-937,-898.0,-910.0,1
Qualified,Partner Referral,BDR,Sales,0,0,0,0,1029,201,,,0
Nurturing,Outbound,BDR,Sales,2,1,1,0,338,766,149.0,129.0,1
Qualified,Partner Referral,BDR,Sales,2,1,1,0,327,739,421.0,405.0,0
Nurturing,Event,SDR,Sales,5,0,5,0,197,943,69.0,64.0,1
Nurturing,Trade Show,SDR,Sales,6,1,5,1,170,1253,-3.0,-4.0,1
Qualified,Outbound,AE,Sales,5,3,2,1,575,846,-220.0,-221.0,0
Qualified,Inbound,SDR,Sales,4,3,1,1,1413,-506,-735.0,-746.0,0
Open,Web,SDR,Sales,3,2,1,1,856,-349,-682.0,-684.0,1
Nurturing,Event,SDR,Sales,4,1,3,1,1030,-590,-797.0,-819.0,1
Open,Event,AE,Sales,8,5,3,3,675,346,-542.0,-558.0,1
Working,Partner Referral,BDR,Sales,1,0,1,1,603,575,-207.0,-233.0,1
Qualified,Web,BDR,Sales,3,1,2,0,1138,-639,-983.0,-1010.0,1
Open,Inbound,BDR,Sales,4,1,3,1,401,-470,-376.0,-382.0,0
Nurturing,Inbound,BDR,Sales,0,0,0,0,1443,-868,,,0
Qualified,Inbound,SDR,Sales,7,4,3,3,1455,-1368,-637.0,-647.0,0
Qualified,Web,BDR,Sales,4,1,3,0,94,-14,22.0,16.0,0
Qualified,Outbound,AE,Sales,7,3,4,5,341,219,-30.0,-33.0,0
Nurturing,Inbound,BDR,Sales,5,1,4,1,33,1511,-19.0,-46.0,1
Qualified,Event,BDR,Sales,0,0,0,0,380,-35,,,1
Nurturing,Outbound,SDR,Sales,3,1,2,3,353,1096,-156.0,-162.0,1
Working,Event,AE,Sales,4,3,1,0,139,788,273.0,257.0,1
Qualified,Web,BDR,Sales,3,1,2,2,1341,-569,-1115.0,-1117.0,1
Qualified,Web,SDR,Sales,6,2,4,1,956,-193,-904.0,-914.0,1
Working,Inbound,SDR,Sales,5,3,2,2,1175,323,-1148.0,-1150.0,1
Qualified,Inbound,BDR,Sales,3,1,2,2,445,-365,-63.0,-79.0,0
Qualified,Outbound,BDR,Sales,3,1,2,1,58,1412,50.0,29.0,0
Open,Event,SDR,Sales,2,0,2,0,459,-269,-292.0,-315.0,1
Open,Trade Show,BDR,Sales,0,0,0,0,1068,-708,,,0
Nurturing,Inbound,SDR,Sales,5,3,2,1,967,-527,-859.0,-872.0,1
Working,Outbound,SDR,Sales,8,5,3,2,555,975,-492.0,-503.0,0
Working,Outbound,BDR,Sales,1,1,0,0,782,-422,-52.0,-56.0,1
Qualified,Web,AE,Sales,6,4,2,2,419,-166,-155.0,-166.0,0
Qualified,Partner Referral,SDR,Sales,2,1,1,0,1248,-864,-903.0,-931.0,0
Nurturing,Event,BDR,Sales,4,3,1,1,1278,73,-1276.0,-1303.0,0
Nurturing,Web,BDR,Sales,3,2,1,1,210,404,283.0,266.0,0
Nurturing,Partner Referral,BDR,Sales,4,2,2,1,1045,-965,-916.0,-926.0,0
Open,Partner Referral,BDR,Sales,4,2,2,2,1309,42,-1102.0,-1131.0,0
Nurturing,Web,BDR,Sales,4,1,3,3,888,-324,-876.0,-889.0,0
Working,Outbound,SDR,Sales,4,3,1,0,1010,-823,-716.0,-736.0,0
Open,Partner Referral,BDR,Sales,1,0,1,0,679,-77,-670.0,-692.0,1
Nurturing,Trade Show,SDR,Sales,6,4,2,2,226,-77,-75.0,-79.0,1
Open,Outbound,SDR,Sales,2,0,2,0,351,-263,703.0,673.0,0
Open,Inbound,AE,Sales,4,1,3,2,1284,-67,-947.0,-970.0,1
Qualified,Event,BDR,Sales,2,0,2,1,1444,14,-435.0,-453.0,0
Nurturing,Trade Show,BDR,Sales,5,4,1,2,1266,178,-1264.0,-1266.0,0
Qualified,Outbound,BDR,Sales,6,2,4,1,179,1471,28.0,4.0,1
Qualified,Outbound,SDR,Sales,1,1,0,0,141,-54,485.0,479.0,0
Open,Outbound,BDR,Sales,1,0,1,0,1100,443,107.0,95.0,0
Nurturing,Partner Referral,SDR,Sales,4,2,2,1,1308,-717,-821.0,-830.0,1
Working,Event,AE,Sales,3,1,2,1,1174,-505,-959.0,-972.0,0
Working,Event,AE,Sales,4,1,3,1,1032,65,-799.0,-815.0,1
Qualified,Event,BDR,Sales,7,3,4,3,1192,-278,-1098.0,-1117.0,1
Open,Web,SDR,Sales,3,1,2,1,614,526,-245.0,-274.0,0
Working,Trade Show,SDR,Sales,1,1,0,0,1290,-1202,-498.0,-505.0,0
Qualified,Inbound,AE,Sales,4,2,2,1,825,737,-802.0,-804.0,1
Open,Partner Referral,SDR,Sales,4,2,2,1,637,801,-505.0,-515.0,1
Nurturing,Trade Show,AE,Sales,1,0,1,0,1183,-139,42.0,18.0,1
Working,Web,BDR,Sales,3,1,2,1,1148,-629,-815.0,-816.0,1
Open,Event,BDR,Sales,5,3,2,1,592,-232,6.0,-2.0,1
Open,Partner Referral,AE,Sales,2,1,1,0,708,-221,53.0,27.0,1
Nurturing,Trade Show,SDR,Sales,3,1,2,1,1433,5,-968.0,-996.0,0
Nurturing,Web,BDR,Sales,5,2,3,1,366,133,58.0,30.0,0
Open,Web,SDR,Sales,4,2,2,2,656,-515,-623.0,-627.0,0
Qualified,Trade Show,BDR,Sales,5,5,0,2,803,-767,-756.0,-762.0,0
Nurturing,Outbound,BDR,Sales,5,4,1,2,424,438,186.0,163.0,0
Working,Web,BDR,Sales,2,2,0,1,246,984,-29.0,-45.0,0
Working,Partner Referral,SDR,Sales,6,2,4,1,53,1353,325.0,305.0,0
Open,Event,BDR,Sales,5,3,2,2,406,-86,-154.0,-172.0,0
Working,Partner Referral,BDR,Sales,3,1,2,0,1058,486,-241.0,-251.0,1
Qualified,Outbound,BDR,Sales,7,3,4,3,472,47,-478.0,-500.0,1
Open,Inbound,SDR,Sales,5,3,2,3,619,583,-209.0,-213.0,0
Nurturing,Web,BDR,Sales,5,3,2,3,984,560,-782.0,-812.0,0
Working,Outbound,BDR,Sales,7,4,3,3,277,-241,-278.0,-280.0,0
Working,Inbound,BDR,Sales,4,1,3,2,85,930,412.0,399.0,1
Qualified,Web,BDR,Sales,6,2,4,4,1454,-1044,-1187.0,-1204.0,1
Qualified,Web,BDR,Sales,3,1,2,0,1446,-1418,-986.0,-1001.0,1
Qualified,Trade Show,SDR,Sales,1,1,0,0,1137,-1098,243.0,231.0,0
Qualified,Event,SDR,Sales,2,2,0,1,422,644,631.0,609.0,0
Open,Trade Show,BDR,Sales,6,6,0,2,28,1554,-3.0,-7.0,1
Open,Outbound,BDR,Sales,3,1,2,0,552,1030,-177.0,-207.0,1
Nurturing,Trade Show,SDR,Sales,2,0,2,2,359,384,1060.0,1055.0,0
Nurturing,Event,SDR,Sales,4,3,1,1,1457,-950,-1458.0,-1459.0,1
Nurturing,Web,BDR,Sales,3,2,1,1,749,571,-248.0,-251.0,1
Qualified,Event,AE,Sales,5,3,2,3,499,1151,-59.0,-81.0,0
Qualified,Trade Show,BDR,Sales,3,3,0,0,1252,-455,-745.0,-770.0,0
Working,Web,SDR,Sales,6,1,5,4,376,64,-119.0,-122.0,1
Nurturing,Web,AE,Sales,5,0,5,2,1161,78,-1072.0,-1093.0,1
Nurturing,Trade Show,BDR,Sales,3,1,2,2,247,-218,74.0,70.0,0
Nurturing,Partner Referral,SDR,Sales,4,3,1,3,308,195,-33.0,-38.0,1
Open,Outbound,BDR,Sales,3,0,3,0,500,102,-427.0,-429.0,1
Qualified,Inbound,BDR,Sales,1,1,0,0,929,-33,208.0,189.0,1
Working,Outbound,SDR,Sales,6,3,3,3,1302,293,-1133.0,-1157.0,0
Working,Partner Referral,SDR,Sales,5,3,2,2,1091,-1013,-1096.0,-1101.0,1
Open,Event,BDR,Sales,5,2,3,2,192,292,323.0,306.0,0
Nurturing,Trade Show,BDR,Sales,1,1,0,0,619,1012,-369.0,-389.0,0
Qualified,Event,AE,Sales,2,2,0,1,1387,-338,-1119.0,-1121.0,1
Qualified,Outbound,BDR,Sales,3,2,1,1,907,-148,-526.0,-549.0,1
Nurturing,Web,BDR,Sales,8,3,5,3,186,-106,-77.0,-91.0,1
Open,Outbound,SDR,Sales,3,2,1,2,244,663,27.0,7.0,0
Nurturing,Event,BDR,Sales,5,2,3,1,1036,55,-824.0,-830.0,0
Nurturing,Web,SDR,Sales,8,4,4,2,74,480,-70.0,-71.0,0
Open,Web,SDR,Sales,8,3,5,2,1237,-494,-1112.0,-1119.0,0
Qualified,Partner Referral,AE,Sales,4,2,2,0,1359,-1368,-554.0,-572.0,1
Nurturing,Partner Referral,SDR,Sales,3,1,2,0,185,238,-160.0,-166.0,0
Qualified,Trade Show,BDR,Sales,4,2,2,2,167,602,166.0,140.0,1
Qualified,Event,AE,Sales,7,2,5,4,13,1343,510.0,481.0,1
Nurturing,Inbound,BDR,Sales,5,3,2,2,849,13,-662.0,-690.0,0
Qualified,Event,SDR,Sales,4,1,3,1,44,-46,89.0,67.0,0
Working,Inbound,BDR,Sales,4,1,3,4,812,508,-442.0,-460.0,1
Open,Partner Referral,SDR,Sales,4,0,4,1,311,565,-121.0,-135.0,1
Open,Event,BDR,Sales,2,0,2,1,1196,-460,-1080.0,-1108.0,0
Open,Partner Referral,SDR,Sales,1,0,1,0,1185,78,-913.0,-941.0,1
Working,Trade Show,BDR,Sales,5,2,3,2,715,-216,-580.0,-591.0,0
Qualified,Inbound,BDR,Sales,4,1,3,2,446,905,-392.0,-418.0,1
Qualified,Trade Show,BDR,Sales,2,2,0,2,268,506,493.0,483.0,1
Nurturing,Event,BDR,Sales,6,4,2,1,426,-398,-70.0,-97.0,1
Qualified,Partner Referral,SDR,Sales,5,2,3,1,1048,84,-327.0,-351.0,0
Qualified,Trade Show,SDR,Sales,2,0,2,0,1035,463,-471.0,-481.0,0
Qualified,Event,SDR,Sales,3,1,2,1,306,-291,341.0,329.0,1
Qualified,Inbound,SDR,Sales,6,1,5,5,299,255,246.0,217.0,0
Nurturing,Partner Referral,AE,Sales,4,1,3,1,586,341,-514.0,-525.0,0
Nurturing,Web,SDR,Sales,5,1,4,1,1044,-137,-1034.0,-1053.0,0
Qualified,Trade Show,BDR,Sales,3,0,3,1,1081,18,-1031.0,-1037.0,1
Open,Outbound,SDR,Sales,5,4,1,2,173,624,111.0,88.0,1
Working,Inbound,SDR,Sales,3,2,1,2,1177,-1164,-1047.0,-1072.0,0
Nurturing,Outbound,BDR,Sales,3,1,2,1,32,715,2.0,-28.0,1
Qualified,Web,SDR,Sales,5,2,3,5,1204,-718,-1093.0,-1120.0,1
Qualified,Trade Show,BDR,Sales,4,3,1,1,1316,-956,-493.0,-496.0,1
Open,Outbound,BDR,Sales,1,0,1,0,1310,-541,-725.0,-727.0,1
Open,Web,BDR,Sales,4,3,1,0,91,805,423.0,404.0,0
Working,Partner Referral,BDR,Sales,1,1,0,0,522,-407,942.0,925.0,1
Working,Inbound,SDR,Sales,3,1,2,1,799,565,-612.0,-641.0,0
Qualified,Web,AE,Sales,6,4,2,1,672,557,36.0,9.0,0
Working,Event,BDR,Sales,4,1,3,0,364,250,-368.0,-375.0,0
Working,Event,SDR,Sales,3,1,2,1,11,95,557.0,538.0,1
Qualified,Partner Referral,SDR,Sales,4,2,2,0,810,-661,-59.0,-73.0,0
Qualified,Partner Referral,SDR,Sales,2,1,1,2,227,-190,567.0,544.0,0
Open,Event,BDR,Sales,5,2,3,2,328,419,-78.0,-92.0,1
Qualified,Web,BDR,Sales,3,3,0,0,926,656,33.0,25.0,1
Open,Web,BDR,Sales,1,0,1,0,588,-608,-45.0,-73.0,1
Working,Inbound,BDR,Sales,5,2,3,1,1269,-1233,-1153.0,-1160.0,1
Qualified,Web,SDR,Sales,10,4,6,4,93,48,-94.0,-103.0,0
Open,Partner Referral,BDR,Sales,3,2,1,0,38,1313,29.0,3.0,0
Nurturing,Inbound,AE,Sales,1,1,0,1,888,-674,-754.0,-759.0,1
Working,Partner Referral,SDR,Sales,2,1,1,1,1427,-680,-1159.0,-1163.0,0
Open,Partner Referral,BDR,Sales,4,3,1,2,767,-192,-540.0,-541.0,1
Open,Event,BDR,Sales,2,1,1,0,201,1343,-39.0,-67.0,1
Working,Event,BDR,Sales,6,3,3,5,0,1528,-21.0,-29.0,0
Working,Trade Show,BDR,Sales,1,1,0,0,831,847,362.0,347.0,1
Qualified,Partner Referral,BDR,Sales,3,2,1,1,1034,-515,-734.0,-764.0,0
Nurturing,Trade Show,SDR,Sales,7,4,3,1,256,740,-41.0,-68.0,1
Open,Event,SDR,Sales,3,0,3,1,1305,-1164,-1069.0,-1089.0,0
Qualified,Partner Referral,BDR,Sales,11,6,5,3,392,1187,-190.0,-214.0,1
Open,Inbound,BDR,Sales,11,5,6,5,1358,320,-1322.0,-1343.0,1
Working,Trade Show,BDR,Sales,1,1,0,0,1178,-1142,-604.0,-606.0,1
Open,Event,BDR,Sales,5,2,3,1,492,437,-44.0,-73.0,0
Qualified,Outbound,AE,Sales,3,2,1,1,937,484,-424.0,-433.0,0
Nurturing,Event,AE,Sales,5,4,1,1,753,486,-687.0,-698.0,0
Qualified,Trade Show,SDR,Sales,4,2,2,1,1180,-437,-1117.0,-1142.0,1
Qualified,Partner Referral,BDR,Sales,6,4,2,3,179,435,-122.0,-152.0,0
Open,Partner Referral,BDR,Sales,4,2,2,1,68,947,481.0,452.0,0
Working,Inbound,AE,Sales,2,2,0,1,545,563,251.0,239.0,1
Open,Outbound,BDR,Sales,3,1,2,0,706,398,-539.0,-566.0,0
Working,Event,BDR,Sales,7,4,3,2,585,-169,-595.0,-612.0,0
Qualified,Inbound,SDR,Sales,1,1,0,0,34,1168,508.0,505.0,1
Open,Event,BDR,Sales,6,3,3,4,1304,327,-656.0,-680.0,1
Working,Trade Show,BDR,Sales,3,1,2,0,22,1211,284.0,269.0,1
Nurturing,Event,AE,Sales,4,0,4,1,1414,-439,-1304.0,-1328.0,1
Open,Partner Referral,BDR,Sales,1,0,1,1,1452,-742,-869.0,-896.0,1
Qualified,Trade Show,SDR,Sales,0,0,0,0,1431,-877,,,1
Nurturing,Inbound,SDR,Sales,5,2,3,3,385,321,-389.0,-413.0,0
Working,Inbound,AE,Sales,6,3,3,1,1034,46,-579.0,-604.0,0
Open,Event,BDR,Sales,3,1,2,0,833,-532,-699.0,-708.0,0
Qualified,Event,BDR,Sales,1,1,0,1,1385,-286,-517.0,-526.0,1
Open,Outbound,AE,Sales,2,0,2,0,649,-560,175.0,162.0,0
Qualified,Inbound,SDR,Sales,2,1,1,1,1411,-509,-896.0,-900.0,0
Nurturing,Partner Referral,SDR,Sales,2,1,1,0,675,-172,-455.0,-460.0,1
Nurturing,Inbound,SDR,Sales,5,2,3,3,424,839,190.0,174.0,0
Open,Outbound,BDR,Sales,4,2,2,1,386,680,-296.0,-324.0,0
Nurturing,Partner Referral,SDR,Sales,2,0,2,0,246,79,264.0,254.0,1
Qualified,Inbound,SDR,Sales,5,2,3,2,507,695,-253.0,-270.0,1
Working,Trade Show,BDR,Sales,3,1,2,1,820,279,-561.0,-588.0,0
Open,Event,BDR,Sales,6,2,4,2,825,619,-555.0,-581.0,1
Nurturing,Partner Referral,SDR,Sales,2,1,1,0,241,1313,277.0,269.0,0
Qualified,Web,BDR,Sales,3,1,2,0,578,1004,-578.0,-607.0,1
Open,Partner Referral,SDR,Sales,3,2,1,2,47,1317,74.0,57.0,1
Nurturing,Partner Referral,SDR,Sales,0,0,0,0,935,471,,,1
Working,Outbound,SDR,Sales,5,4,1,3,935,58,-617.0,-647.0,0
Qualified,Trade Show,BDR,Sales,4,1,3,1,205,397,360.0,340.0,0
Nurturing,Partner Referral,BDR,Sales,3,1,2,1,1418,-319,-1366.0,-1394.0,1
Open,Inbound,SDR,Sales,2,0,2,0,576,687,108.0,91.0,1
Working,Event,SDR,Sales,3,1,2,1,1157,207,-1025.0,-1049.0,0
Qualified,Event,SDR,Sales,4,3,1,1,957,349,-825.0,-845.0,0
Nurturing,Inbound,SDR,Sales,6,5,1,3,1140,-434,-1020.0,-1038.0,0
Open,Inbound,BDR,Sales,0,0,0,0,45,356,,,0
Qualified,Inbound,SDR,Sales,5,1,4,2,463,924,-446.0,-465.0,0
Qualified,Trade Show,SDR,Sales,2,0,2,0,1106,-666,-843.0,-855.0,1
Qualified,Web,SDR,Sales,3,1,2,1,680,196,8.0,-17.0,1
Qualified,Event,SDR,Sales,3,2,1,2,609,797,-494.0,-497.0,0
Qualified,Trade Show,BDR,Sales,3,1,2,1,647,-667,-66.0,-74.0,0
Nurturing,Outbound,SDR,Sales,2,2,0,0,268,418,-63.0,-90.0,0
Working,Partner Referral,BDR,Sales,5,2,3,2,778,-276,-783.0,-790.0,1
Qualified,Partner Referral,AE,Sales,6,4,2,2,1322,-801,-1135.0,-1162.0,0
Working,Outbound,SDR,Sales,1,0,1,1,1265,-258,-247.0,-260.0,1
Nurturing,Trade Show,AE,Sales,4,1,3,1,715,588,-514.0,-521.0,0
Open,Trade Show,AE,Sales,2,1,1,1,196,-96,63.0,42.0,1
Working,Event,SDR,Sales,2,0,2,0,1222,-425,-797.0,-803.0,1
Working,Partner Referral,BDR,Sales,5,2,3,3,1236,-822,-1169.0,-1180.0,0
Qualified,Trade Show,BDR,Sales,4,2,2,0,539,227,-339.0,-361.0,1
Nurturing,Inbound,SDR,Sales,4,2,2,0,1068,-718,-607.0,-613.0,1
Qualified,Outbound,BDR,Sales,2,0,2,0,791,-19,-672.0,-674.0,0
Qualified,Outbound,SDR,Sales,4,2,2,0,986,-799,-716.0,-742.0,1
Open,Outbound,SDR,Sales,2,1,1,2,479,653,-7.0,-13.0,1
Working,Inbound,SDR,Sales,4,2,2,1,467,1076,-238.0,-239.0,0
